match_id,season,date,team1,team2,winner,margin,venue,city
1269684,2021/22,2022/01/13,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,9 runs,"Docklands Stadium, Melbourne",Melbourne
1269685,2021/22,2022/01/13,Melbourne Renegades,Melbourne Stars,Melbourne Stars,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1269686,2021/22,2022/01/14,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,6 wickets,Adelaide Oval,Adelaide
1269687,2021/22,2022/01/15,Sydney Sixers,Sydney Thunder,Sydney Sixers,60 runs,Sydney Cricket Ground,Sydney
1269688,2021/22,2022/01/16,Brisbane Heat,Melbourne Stars,Melbourne Stars,8 wickets,Melbourne Cricket Ground,Melbourne
1269689,2021/22,2022/01/17,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,8 wickets,Adelaide Oval,Adelaide
1269690,2021/22,2022/01/17,Brisbane Heat,Perth Scorchers,Perth Scorchers,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1269691,2021/22,2022/01/18,Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,6 runs,"Docklands Stadium, Melbourne",Melbourne
1269692,2021/22,2022/01/19,Sydney Sixers,Brisbane Heat,Sydney Sixers,27 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1269693,2021/22,2022/01/19,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,106 runs,Melbourne Cricket Ground,Melbourne
1269694,2021/22,2022/01/19,Sydney Thunder,Melbourne Renegades,Sydney Thunder,1 runs,Melbourne Cricket Ground,Melbourne
1269695,2021/22,2022/01/22,Perth Scorchers,Sydney Sixers,Perth Scorchers,48 runs,"Docklands Stadium, Melbourne",Melbourne
1269696,2021/22,2022/01/23,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,6 runs,Melbourne Cricket Ground,Melbourne
1269697,2021/22,2022/01/26,Adelaide Strikers,Sydney Sixers,Sydney Sixers,4 wickets,Sydney Cricket Ground,Sydney
1269698,2021/22,2022/01/28,Perth Scorchers,Sydney Sixers,Perth Scorchers,79 runs,"Docklands Stadium, Melbourne",Melbourne
1324624,2022/23,2022/12/13,Melbourne Stars,Sydney Thunder,Sydney Thunder,1 wickets,"Manuka Oval, Canberra",Canberra
1324625,2022/23,2022/12/14,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,51 runs,Adelaide Oval,Adelaide
1324626,2022/23,2022/12/15,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,22 runs,"Cazaly's Stadium, Cairns",Cairns
1324627,2022/23,2022/12/16,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,38 runs,Melbourne Cricket Ground,Melbourne
1324628,2022/23,2022/12/16,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,124 runs,Sydney Showground Stadium,Sydney
1324629,2022/23,2022/12/17,Perth Scorchers,Sydney Sixers,Perth Scorchers,38 runs,Perth Stadium,Perth
1324630,2022/23,2022/12/18,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,4 wickets,"Docklands Stadium, Melbourne",Melbourne
1324631,2022/23,2022/12/19,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,8 runs,"University of Tasmania Stadium, Launceston",Launceston
1324632,2022/23,2022/12/20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,6 wickets,Adelaide Oval,Adelaide
1324633,2022/23,2022/12/21,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,4 wickets,"GMHBA Stadium, South Geelong, Victoria",Geelong
1324634,2022/23,2022/12/22,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,6 runs,Sydney Cricket Ground,Sydney
1324635,2022/23,2022/12/23,Perth Scorchers,Melbourne Stars,Perth Scorchers,61 runs,"Junction Oval, Melbourne",Melbourne
1324636,2022/23,2022/12/23,Brisbane Heat,Adelaide Strikers,Brisbane Heat,6 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1324637,2022/23,2022/12/24,Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,8 runs,"Bellerive Oval, Hobart",Hobart
1324638,2022/23,2022/12/26,Melbourne Stars,Sydney Sixers,Sydney Sixers,7 wickets,Sydney Cricket Ground,Sydney
1324639,2022/23,2022/12/26,Adelaide Strikers,Perth Scorchers,Perth Scorchers,3 wickets,Perth Stadium,Perth
1324640,2022/23,2022/12/27,Brisbane Heat,Sydney Thunder,Sydney Thunder,10 wickets,Sydney Showground Stadium,Sydney
1324641,2022/23,2022/12/28,Sydney Sixers,Melbourne Renegades,Sydney Sixers,34 runs,Sydney Cricket Ground,Sydney
1324642,2022/23,2022/12/29,Sydney Thunder,Brisbane Heat,Sydney Thunder,11 runs,Carrara Oval,Carrara
1324643,2022/23,2022/12/29,Melbourne Stars,Perth Scorchers,Perth Scorchers,6 wickets,Perth Stadium,Perth
1324644,2022/23,2022/12/30,Melbourne Renegades,Sydney Sixers,Sydney Sixers,6 wickets,"GMHBA Stadium, South Geelong, Victoria",Geelong
1324645,2022/23,2022/12/31,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,62 runs,"Lavington Sports Oval, Albury",Albury
1324646,2022/23,2022/12/31,Melbourne Stars,Adelaide Strikers,Melbourne Stars,8 runs,Adelaide Oval,Adelaide
1324647,2022/23,2023/01/01,Melbourne Renegades,Perth Scorchers,Perth Scorchers,5 wickets,"Docklands Stadium, Melbourne",Melbourne
1324648,2022/23,2023/01/01,Brisbane Heat,Sydney Sixers,Brisbane Heat,15 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1324649,2022/23,2023/01/02,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,7 wickets,"Bellerive Oval, Hobart",Hobart
1324650,2022/23,2023/01/03,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,33 runs,Melbourne Cricket Ground,Melbourne
1324651,2022/23,2023/01/04,Brisbane Heat,Sydney Sixers,,,"North Sydney Oval, Sydney",Sydney
1324652,2022/23,2023/01/04,Perth Scorchers,Sydney Thunder,Sydney Thunder,6 wickets,Perth Stadium,Perth
