player,team,format,total_runs,balls_faced,matches,strike_rate
TA Blundell,New Zealand,Test,2173,4077,43,53.3
JO Holder,West Indies,ODI,2144,2431,107,88.19
SP Fleming,New Zealand,ODI,2133,3036,66,70.26
MD Patel,United States of America,ODI,2132,2682,66,79.49
H Klaasen,South Africa,ODI,2131,1839,55,115.88
MG Erasmus,Namibia,ODI,2121,2822,63,75.16
KOA Powell,West Indies,Test,2113,4160,44,50.79
BRM Taylor,Zimbabwe,Test,2111,3658,30,57.71
MP O'Dowd,Netherlands,ODI,2111,2904,63,72.69
ME Trescothick,England,ODI,2109,2584,63,81.62
HAPW Jayawardene,Sri Lanka,Test,2106,4309,48,48.87
A Flintoff,England,ODI,2105,2336,72,90.11
JP Duminy,South Africa,Test,2103,4560,43,46.12
Mehedi Hasan Miraz,Bangladesh,Test,2103,4170,54,50.43
HH Gibbs,South Africa,Test,2103,3697,34,56.88
JK Silva,Sri Lanka,Test,2099,5225,39,40.17
AN Petersen,South Africa,Test,2093,4052,36,51.65
HDRL Thirimanne,Sri Lanka,Test,2088,5305,44,39.36
MR Marsh,Australia,Test,2083,3703,46,56.25
D Ramdin,West Indies,ODI,2072,2636,103,78.6
MG Johnson,Australia,Test,2065,3545,68,58.25
CL White,Australia,ODI,2053,2583,75,79.48
E Lewis,West Indies,ODI,2051,2398,59,85.53
V Sibanda,Zimbabwe,ODI,2045,3362,95,60.83
CR Woakes,England,Test,2034,3852,60,52.8
Nazmul Hossain Shanto,Bangladesh,Test,2028,3971,38,51.07
MS Atapattu,Sri Lanka,ODI,2025,3019,65,67.08
CJL Rogers,Australia,Test,2015,3988,25,50.53
CS MacLeod,Scotland,ODI,2015,2570,61,78.4
AC Gilchrist,Australia,Test,2005,2384,38,84.1
BC Lara,West Indies,Test,1995,3090,16,64.56
KJ O'Brien,Ireland,ODI,1990,2151,84,92.52
CJ Chibhabha,Zimbabwe,ODI,1987,3130,87,63.48
LMP Simmons,West Indies,ODI,1958,2741,64,71.43
Jatinder Singh,Oman,ODI,1957,2566,65,76.27
RK Paudel,Nepal,ODI,1936,2693,72,71.89
MH Cross,Scotland,ODI,1915,2736,84,69.99
GD Elliott,New Zealand,ODI,1913,2394,66,79.91
Inzamam-ul-Haq,Pakistan,ODI,1910,2470,61,77.33
HH Pandya,India,ODI,1897,1755,67,108.09
T Bavuma,South Africa,ODI,1894,2187,49,86.6
SA Edwards,Netherlands,ODI,1873,2120,58,88.35
BC Lara,West Indies,ODI,1873,2444,65,76.64
Kamran Akmal,Pakistan,Test,1867,2979,36,62.67
Taufeeq Umar,Pakistan,Test,1867,4189,25,44.57
V Aravind,United Arab Emirates,ODI,1865,2785,63,66.97
M Labuschagne,Australia,ODI,1857,2249,57,82.57
DJ Bravo,West Indies,Test,1855,3717,33,49.91
