player,team,format,total_runs,balls_faced,matches,strike_rate
Mohammad Mithun,Bangladesh,ODI,711,948,28,75.0
JDS Neesham,New Zealand,Test,709,1073,12,66.08
D Bishoo,West Indies,Test,707,1904,35,37.13
Faisal Iqbal,Pakistan,Test,707,1494,15,47.32
R Ashwin,India,ODI,707,831,61,85.08
LJ Wright,England,ODI,707,838,39,84.37
MP Breetzke,South Africa,ODI,706,743,12,95.02
KD Petersen,South Africa,Test,704,1478,14,47.63
ARS Silva,Sri Lanka,Test,702,1713,12,40.98
JE Taylor,West Indies,Test,701,1129,39,62.09
EJG Morgan,England,Test,700,1280,16,54.69
SR Waugh,Australia,Test,700,1134,8,61.73
Shahadat Hossain,Bangladesh,Test,697,1553,39,44.88
NJ Astle,New Zealand,Test,693,1373,15,50.47
PA Patel,India,ODI,693,884,29,78.39
Shayan Jahangir,United States of America,ODI,691,774,27,89.28
SW Billings,England,ODI,690,768,22,89.84
SO Tikolo,Kenya,ODI,689,1051,35,65.56
AR Patel,India,Test,688,1298,15,53.0
Faheem Ashraf,Pakistan,Test,687,1268,16,54.18
DS Lehmann,Australia,ODI,687,870,20,78.97
HH Dippenaar,South Africa,Test,684,1594,16,42.91
CJ Anderson,New Zealand,Test,683,1204,13,56.73
AG Prince,South Africa,ODI,683,1006,31,67.89
JA Morkel,South Africa,ODI,683,697,37,97.99
Abdullah Shafique,Pakistan,ODI,679,899,26,75.53
Javed Omar,Bangladesh,Test,678,1410,17,48.09
A Sharma,United Arab Emirates,ODI,676,885,26,76.38
DW Lawrence,England,Test,671,1211,14,55.41
MJ Henry,New Zealand,Test,670,859,29,78.0
T Chanderpaul,West Indies,Test,670,1779,13,37.66
TT Samaraweera,Sri Lanka,ODI,669,914,30,73.19
CJ Ferguson,Australia,ODI,663,795,25,83.4
HJH Marshall,New Zealand,ODI,661,980,36,67.45
KR Mayers,West Indies,ODI,660,802,26,82.29
T Taibu,Zimbabwe,Test,657,1667,12,39.41
TG McIntosh,New Zealand,Test,657,1870,15,35.13
AB Barath,West Indies,Test,657,1389,15,47.3
DJ Willey,England,ODI,656,702,45,93.45
SK Patel,United States of America,ODI,655,869,20,75.37
CA Soper,Papua New Guinea,ODI,653,1179,47,55.39
A Mishra,India,Test,648,1108,19,58.48
GB Hogg,Australia,ODI,647,818,47,79.1
MT Renshaw,Australia,Test,645,1526,14,42.27
CK Coventry,Zimbabwe,ODI,645,737,24,87.52
Abdur Razzak,Bangladesh,ODI,644,880,79,73.18
Hammad Mirza,Oman,ODI,643,862,18,74.59
JEC Franklin,New Zealand,Test,639,1742,20,36.68
Karan KC,Nepal,ODI,636,711,47,89.45
SC Cook,South Africa,Test,632,1403,11,45.05
PSP Handscomb,Australia,ODI,632,656,20,96.34
SM Curran,England,ODI,632,713,30,88.64
L Tucker,Ireland,Test,630,1021,8,61.7
WG Jacks,England,ODI,629,619,21,101.62
GW Flower,Zimbabwe,ODI,627,963,21,65.11
T de Zorzi,South Africa,ODI,626,633,17,98.89
JM How,New Zealand,Test,625,1257,14,49.72
M Jansen,South Africa,Test,624,1149,21,54.31
N Deonarine,West Indies,Test,622,1472,15,42.26
JN Mohammed,West Indies,ODI,621,929,29,66.85
Khawar Ali,Oman,ODI,620,1080,28,57.41
TMK Mawoyo,Zimbabwe,Test,615,1665,11,36.94
SJ Harmison,England,Test,615,1005,39,61.19
A Bagai,Canada,ODI,614,995,24,61.71
NR Kirton,Canada,ODI,613,829,23,73.94
Alok Kapali,Bangladesh,ODI,613,910,37,67.36
JF Mooney,Ireland,ODI,610,746,32,81.77
MS Harris,Australia,Test,607,1327,14,45.74
AF Giles,England,Test,607,1305,18,46.51
Khaled Mashud,Bangladesh,ODI,605,1139,36,53.12
RJ Harris,Australia,Test,603,962,25,62.68
JG Bethell,England,ODI,603,665,19,90.68
PL Mommsen,Scotland,ODI,601,786,19,76.46
Aayan Afzal Khan,United Arab Emirates,ODI,595,829,34,71.77
Afif Hossain,Bangladesh,ODI,594,705,27,84.26
RN ten Doeschate,Netherlands,ODI,594,682,13,87.1
BMAJ Mendis,Sri Lanka,ODI,593,741,42,80.03
Adnan Akmal,Pakistan,Test,591,1343,20,44.01
SK Warne,Australia,Test,590,875,24,67.43
L Vincent,New Zealand,Test,590,1056,7,55.87
JM Vince,England,ODI,590,682,21,86.51
MD Craig,New Zealand,Test,589,1085,15,54.29
RJ Nicol,New Zealand,ODI,586,805,21,72.8
ST Jayasuriya,Sri Lanka,Test,582,818,14,71.15
FH Allen,New Zealand,ODI,582,637,21,91.37
KK Nair,India,Test,579,897,10,64.55
MA Starc,Australia,ODI,579,770,68,75.19
WPUJC Vaas,Sri Lanka,ODI,579,860,70,67.33
MN Waller,Zimbabwe,Test,577,1138,14,50.7
N Boje,South Africa,Test,576,983,15,58.6
TLW Cooper,Netherlands,ODI,576,776,18,74.23
RS Bopara,England,Test,575,1092,13,52.66
TT Bresnan,England,Test,575,1463,19,39.3
DAS Gunaratne,Sri Lanka,ODI,575,743,25,77.39
WD Parnell,South Africa,ODI,574,743,42,77.25
AD Hales,England,Test,573,1310,11,43.74
BJ Watling,New Zealand,ODI,573,860,24,66.63
RL Powell,West Indies,ODI,570,626,30,91.05
DAJ Bracewell,New Zealand,Test,568,1227,26,46.29
JR Hazlewood,Australia,Test,565,1286,59,43.93
J Botha,South Africa,ODI,563,701,47,80.31
IS Sodhi,New Zealand,Test,561,1197,20,46.87
JL Carter,West Indies,ODI,560,778,26,71.98
MK Pandey,India,ODI,558,624,23,89.42
DD Ebrahim,Zimbabwe,ODI,555,1050,28,52.86
M Jansen,South Africa,ODI,553,508,26,108.86
B Kumar,India,Test,552,1228,19,44.95
B Kumar,India,ODI,552,768,53,71.88
JM Vince,England,Test,548,1102,13,49.73
SM Sharif,Scotland,ODI,548,746,48,73.46
N Deonarine,West Indies,ODI,546,873,25,62.54
V Sibanda,Zimbabwe,Test,545,1101,12,49.5
GP Thorpe,England,Test,544,1183,8,45.98
AU Rashid,England,Test,540,1270,18,42.52
Babar Hayat,Hong Kong,ODI,539,749,15,71.96
AG Cremer,Zimbabwe,Test,537,1624,17,33.07
LPC Silva,Sri Lanka,Test,537,857,11,62.66
AR McBrine,Ireland,Test,536,1004,9,53.39
LE Plunkett,England,ODI,536,503,47,106.56
Sandeep Goud,Oman,ODI,535,766,28,69.84
L Louwrens,Namibia,ODI,535,918,24,58.28
PJ Moor,Zimbabwe,Test,533,1186,8,44.94
AJ Hall,South Africa,Test,533,1192,11,44.71
Umar Gul,Pakistan,Test,532,1087,38,48.94
J Mubarak,Sri Lanka,ODI,531,833,27,63.75
Imran Nazir,Pakistan,ODI,531,604,21,87.91
CR Brathwaite,West Indies,ODI,527,613,34,85.97
PHKD Mendis,Sri Lanka,ODI,527,663,26,79.49
Iftikhar Ahmed,Pakistan,ODI,527,497,21,106.04
MD Stoneman,England,Test,526,1190,11,44.2
PJ Cummins,Australia,ODI,525,652,57,80.52
Mosaddek Hossain,Bangladesh,ODI,524,655,31,80.0
RJ Peterson,South Africa,ODI,523,636,34,82.23
Zakir Hasan,Bangladesh,Test,521,1112,12,46.85
K Verreynne,South Africa,ODI,521,582,14,89.52
PJ Moor,Zimbabwe,ODI,520,781,32,66.58
K Doriga,Papua New Guinea,ODI,520,927,33,56.09
MA Vermeulen,Zimbabwe,ODI,517,796,29,64.95
TAM Siriwardana,Sri Lanka,ODI,516,539,24,95.73
BJ Hodge,Australia,ODI,516,583,19,88.51
CD Wallace,Scotland,ODI,515,598,25,86.12
Rajin Saleh,Bangladesh,ODI,515,1059,26,48.63
Mashrafe Mortaza,Bangladesh,Test,513,732,20,70.08
KNM Fernando,Sri Lanka,Test,512,956,9,53.56
SV Samson,India,ODI,510,527,14,96.77
SCJ Broad,England,ODI,509,692,65,73.55
Nizakat Khan,Hong Kong,ODI,508,628,15,80.89
SL Malinga,Sri Lanka,ODI,508,701,106,72.47
AG Cremer,Zimbabwe,ODI,507,897,49,56.52
PA Patel,India,Test,505,896,11,56.36
LV van Beek,Netherlands,ODI,505,610,31,82.79
Z Khan,India,ODI,505,732,57,68.99
R Trumpelmann,Namibia,ODI,501,637,40,78.65
MJ Leach,England,Test,498,1335,36,37.3
AN Petersen,South Africa,ODI,498,610,18,81.64
Mominul Haque,Bangladesh,ODI,495,671,22,73.77
Mohammad Rafique,Bangladesh,ODI,491,739,44,66.44
DS Lehmann,Australia,Test,490,900,8,54.44
C Tear,Scotland,ODI,489,646,19,75.7
JWM Dalrymple,England,ODI,487,677,26,71.94
AA Obanda,Kenya,ODI,487,704,14,69.18
R McLaren,South Africa,ODI,485,696,41,69.68
Rajin Saleh,Bangladesh,Test,482,1373,13,35.11
SJ Benn,West Indies,Test,482,799,23,60.33
SR Patel,England,ODI,482,532,22,90.6
Sabbir Rahman,Bangladesh,Test,481,876,11,54.91
SJ Erwee,South Africa,Test,479,1108,10,43.23
NK Patel,United States of America,ODI,477,701,32,68.05
JG Bethell,England,Test,476,735,6,64.76
S Lamichhane,Nepal,ODI,475,541,43,87.8
GP Swann,England,ODI,475,525,47,90.48
KTGD Prasad,Sri Lanka,Test,473,870,23,54.37
SW Ambris,West Indies,ODI,473,505,15,93.66
EC Joyce,England,ODI,471,726,17,64.88
Mohammad Rafique,Bangladesh,Test,470,761,18,61.76
Abdul Razzaq,Pakistan,Test,470,1023,10,45.94
PM Nevill,Australia,Test,468,1155,14,40.52
TB de Bruyn,South Africa,Test,468,1013,13,46.2
S Movva,Canada,ODI,468,743,22,62.99
Javed Omar,Bangladesh,ODI,468,967,20,48.4
MA Ouma,Kenya,ODI,468,855,26,54.74
CH Morris,South Africa,ODI,467,474,27,98.52
HH Pandya,India,Test,461,633,10,72.83
AS Joseph,West Indies,ODI,461,623,44,74.0
Dhruv Jurel,India,Test,459,824,9,55.7
MS Sinclair,New Zealand,Test,459,1131,12,40.58
NS Dhaliwal,Canada,ODI,456,811,17,56.23
DAS Gunaratne,Sri Lanka,Test,455,863,5,52.72
CS Baugh,West Indies,Test,454,930,17,48.82
AR Nurse,West Indies,ODI,454,464,35,97.84
R Chopra,United Arab Emirates,ODI,454,622,18,72.99
AZ Lees,England,Test,453,1052,10,43.06
AAP Atkinson,England,Test,453,577,15,78.51
BJ Webster,Australia,Test,452,734,8,61.58
MF Maharoof,Sri Lanka,Test,451,1172,15,38.48
Saeed Ajmal,Pakistan,Test,451,1085,32,41.57
C Karunaratne,Sri Lanka,ODI,451,589,24,76.57
PL Harris,South Africa,Test,450,1330,32,33.83
R Shepherd,West Indies,ODI,449,445,29,100.9
Naved-ul-Hasan,Pakistan,ODI,449,519,42,86.51
MR Adair,Ireland,ODI,448,421,34,106.41
JP Kotze,Namibia,ODI,448,682,25,65.69
TR Ambrose,England,Test,447,964,11,46.37
CT Bancroft,Australia,Test,446,1042,10,42.8
JL Denly,England,ODI,446,645,13,69.15
Ghulam Shabber,United Arab Emirates,ODI,444,716,20,62.01
M Levitt,Netherlands,ODI,443,533,17,83.11
JM Davison,Canada,ODI,443,393,16,112.72
SSJ Brooks,West Indies,Test,442,1042,12,42.42
Umar Gul,Pakistan,ODI,442,648,62,68.21
Khaled Mashud,Bangladesh,Test,441,1258,15,35.06
Nurul Hasan,Bangladesh,Test,440,697,11,63.13
HT Tector,Ireland,Test,440,985,8,44.67
H Hameed,England,Test,439,1372,10,32.0
A Johnson,Canada,ODI,438,460,19,95.22
MB Kruger,Namibia,ODI,438,665,21,65.86
H Hiri,Papua New Guinea,ODI,435,794,32,54.79
UT Yadav,India,Test,434,863,47,50.29
A Sharafu,United Arab Emirates,ODI,433,616,26,70.29
KA Jamieson,New Zealand,Test,432,778,19,55.53
DT Tiripano,Zimbabwe,Test,429,1341,14,31.99
JP Greaves,West Indies,ODI,429,478,20,89.75
E Chigumbura,Zimbabwe,Test,428,770,10,55.58
CG Williams,Namibia,ODI,427,550,16,77.64
Yasir Hameed,Pakistan,Test,426,765,11,55.69
NM Hauritz,Australia,Test,426,855,15,49.82
Aftab Ahmed,Bangladesh,Test,425,896,11,47.43
MN van Wyk,South Africa,ODI,425,631,16,67.35
M Kaif,India,Test,421,930,8,45.27
S Prasanna,Sri Lanka,ODI,421,460,35,91.52
SMA Priyanjan,Sri Lanka,ODI,420,533,20,78.8
CK Kapugedera,Sri Lanka,Test,418,788,8,53.05
JL Pattinson,Australia,Test,417,972,15,42.9
PR Stirling,Ireland,Test,415,653,8,63.55
AGS Gous,United States of America,ODI,415,484,13,85.74
C Campher,Ireland,Test,413,1030,8,40.1
PW Borren,Netherlands,ODI,413,463,17,89.2
OE Robinson,England,Test,410,737,20,55.63
NP Kenjige,United States of America,ODI,410,590,40,69.49
RTM Mendis,Sri Lanka,Test,408,931,14,43.82
CD Cumming,New Zealand,Test,408,1116,9,36.56
Faheem Ashraf,Pakistan,ODI,408,491,30,83.1
CM McBride,Scotland,ODI,407,575,19,70.78
RD Shah,Kenya,ODI,407,647,14,62.91
Simi Singh,Ireland,ODI,406,517,18,78.53
A Athanaze,West Indies,ODI,405,537,17,75.42
LR Johnson,West Indies,Test,403,837,9,48.15
RJ Peterson,South Africa,Test,403,541,13,74.49
A Balbirnie,Ireland,Test,402,818,10,49.14
Shahid Afridi,Pakistan,Test,401,351,6,114.25
K Rabada,South Africa,ODI,401,514,44,78.02
Sohail Tanvir,Pakistan,ODI,399,468,38,85.26
AJ Stewart,England,ODI,398,547,12,72.76
Nithish Kumar Reddy,India,Test,396,693,9,57.14
Ali Naseer,United Arab Emirates,ODI,396,399,17,99.25
Abdur Rehman,Pakistan,Test,395,933,21,42.34
S van Zyl,South Africa,Test,395,779,11,50.71
T Mishra,Kenya,ODI,395,564,15,70.04
AB Barath,West Indies,ODI,394,629,14,62.64
Anshuman Rath,Hong Kong,ODI,393,539,12,72.91
MW Machan,Scotland,ODI,393,497,11,79.07
Suraj Kumar,Oman,ODI,392,524,18,74.81
BJ Bennett,Zimbabwe,Test,391,557,8,70.2
KMDN Kulasekara,Sri Lanka,Test,391,928,18,42.13
Ahmed Raza,United Arab Emirates,ODI,391,645,36,60.62
NRJ Croes,Netherlands,ODI,390,500,19,78.0
PA de Silva,Sri Lanka,ODI,390,487,13,80.08
NV Knight,England,ODI,390,544,13,71.69
DN Wellalage,Sri Lanka,ODI,389,487,25,79.88
S Muthusamy,South Africa,Test,388,812,7,47.78
Aryan Lakra,United Arab Emirates,ODI,387,681,16,56.83
AJ Hall,South Africa,ODI,387,464,28,83.41
Nauman Ali,Pakistan,Test,385,815,18,47.24
MA Jones,Scotland,ODI,385,582,14,66.15
Naeem Islam,Bangladesh,Test,383,994,7,38.53
JL Smith,England,ODI,383,347,17,110.37
Hasan Ali,Pakistan,Test,382,533,23,71.67
CS Baugh,West Indies,ODI,382,563,27,67.85
CN Ackermann,Netherlands,ODI,380,517,15,73.5
JS Patel,New Zealand,Test,379,692,21,54.77
J Gumbie,Zimbabwe,ODI,379,581,15,65.23
A Zampa,Australia,ODI,378,591,57,63.96
SN Thakur,India,Test,377,632,12,59.65
Hasan Ali,Pakistan,ODI,377,334,38,112.87
Asif Ali,Pakistan,ODI,375,317,15,118.3
SA Abbott,Australia,ODI,374,397,21,94.21
Saud Shakeel,Pakistan,ODI,374,455,14,82.2
Washington Sundar,India,ODI,372,459,20,81.05
MW Short,Australia,ODI,372,411,15,90.51
SN Khan,India,Test,371,495,6,74.95
M Ntini,South Africa,Test,370,849,48,43.58
KDK Vithanage,Sri Lanka,Test,370,485,10,76.29
M Louis,West Indies,Test,369,897,10,41.14
IG Holland,United States of America,ODI,368,481,14,76.51
PJ Forrest,Australia,ODI,368,577,14,63.78
MS Sinclair,New Zealand,ODI,367,566,15,64.84
Saim Ayub,Pakistan,Test,364,657,7,55.4
KM Dabengwa,Zimbabwe,ODI,364,631,23,57.69
Mohammad Amir,Pakistan,ODI,363,457,30,79.43
SP Narine,West Indies,ODI,363,455,42,79.78
DG Brownlie,New Zealand,ODI,361,500,15,72.2
DW Steyn,South Africa,ODI,361,576,49,62.67
T Stubbs,South Africa,ODI,361,423,12,85.34
DT Johnston,Ireland,ODI,361,473,29,76.32
CB Wishart,Zimbabwe,ODI,361,496,15,72.78
Mohammad Saifuddin,Bangladesh,ODI,360,439,18,82.0
Naseem Khushi,Oman,ODI,360,335,24,107.46
JS Malhotra,United States of America,ODI,358,382,15,93.72
BA Carse,England,Test,357,496,14,71.98
G Motie,West Indies,ODI,357,366,22,97.54
T Thushara,Sri Lanka,ODI,357,386,23,92.49
Saad Bin Zafar,Canada,ODI,356,483,25,73.71
BW Hilfenhaus,Australia,Test,355,657,22,54.03
CN Greaves,Scotland,ODI,355,414,22,85.75
Aamer Jamal,Pakistan,Test,352,615,8,57.24
AB Agarkar,India,ODI,352,552,37,63.77
PS Masvaure,Zimbabwe,Test,351,998,8,35.17
RD Rickelton,South Africa,ODI,351,431,16,81.44
JJ Bumrah,India,Test,348,847,47,41.09
Jahurul Islam,Bangladesh,Test,347,905,7,38.34
SJ Myburgh,Netherlands,ODI,347,466,14,74.46
JA Warrican,West Indies,Test,345,618,22,55.83
MA Carberry,England,Test,345,835,6,41.32
RS Morton,West Indies,Test,343,729,10,47.05
TM Dowlin,West Indies,Test,343,742,6,46.23
MA Vermeulen,Zimbabwe,Test,343,749,4,45.79
DT Tiripano,Zimbabwe,ODI,343,535,26,64.11
Ashfaq Ahmed,United Arab Emirates,ODI,343,395,15,86.84
CFK van Wyk,New Zealand,Test,341,695,9,49.06
GJ Maxwell,Australia,Test,339,571,7,59.37
PP Shaw,India,Test,339,395,5,85.82
MG Bracewell,New Zealand,Test,339,595,9,56.97
BJ Bennett,Zimbabwe,ODI,339,358,8,94.69
M Vijay,India,ODI,339,516,16,65.7
R Rampaul,West Indies,ODI,338,450,35,75.11
Jaker Ali,Bangladesh,Test,337,597,6,56.45
HJH Marshall,New Zealand,Test,337,695,8,48.49
MS Atapattu,Sri Lanka,Test,336,874,7,38.44
SD Robson,England,Test,336,756,7,44.44
R Rampaul,West Indies,Test,335,629,18,53.26
Rashid Latif,Pakistan,ODI,335,408,17,82.11
Mohammad Mithun,Bangladesh,Test,333,753,10,44.22
BA King,West Indies,Test,332,551,6,60.25
JN Gillespie,Australia,Test,332,1127,16,29.46
SS Pathirana,Sri Lanka,ODI,332,399,14,83.21
I Kaia,Zimbabwe,ODI,332,520,16,63.85
A Flower,Zimbabwe,ODI,332,472,7,70.34
HP Tillakaratne,Sri Lanka,ODI,332,562,13,59.07
KA Edwards,West Indies,ODI,331,510,16,64.9
SN Thakur,India,ODI,329,321,24,102.49
Khushdil Shah,Pakistan,ODI,329,340,12,96.76
D Khanal,Nepal,ODI,329,482,12,68.26
Adnan Mufti,United Arab Emirates,ODI,328,413,15,79.42
R Hekure,Papua New Guinea,ODI,328,436,22,75.23
Jaker Ali,Bangladesh,ODI,328,421,8,77.91
MH Richardson,New Zealand,Test,327,972,6,33.64
SA Engelbrecht,Netherlands,ODI,327,519,11,63.01
SJ Baard,Namibia,ODI,326,567,17,57.5
MH Yardy,England,ODI,326,490,24,66.53
Sohag Gazi,Bangladesh,Test,325,529,10,61.44
D Mongia,India,ODI,325,545,18,59.63
KA Maharaj,South Africa,ODI,324,418,31,77.51
MO Odumbe,Kenya,ODI,324,363,10,89.26
Saeed Ajmal,Pakistan,ODI,323,539,66,59.93
AC Agar,Australia,ODI,322,400,18,80.5
AK Sah,Nepal,ODI,322,382,14,84.29
DA Gunawardene,Sri Lanka,ODI,322,591,16,54.48
A Dananjaya,Sri Lanka,ODI,321,446,29,71.97
B Bhandari,Nepal,ODI,321,525,15,61.14
SM Ervine,Zimbabwe,ODI,321,350,17,91.71
A Mukund,India,Test,320,705,7,45.39
L Ronchi,New Zealand,Test,319,432,4,73.84
DM Bess,England,Test,319,712,13,44.8
NR Welch,Zimbabwe,Test,319,722,7,44.18
R Mutumbami,Zimbabwe,ODI,319,447,23,71.36
M Muralitharan,Sri Lanka,ODI,317,386,64,82.12
Farhad Reza,Bangladesh,ODI,316,522,25,60.54
LM Jongwe,Zimbabwe,ODI,315,398,28,79.15
RW Price,Zimbabwe,ODI,315,541,44,58.23
D la Cock,Namibia,ODI,313,475,15,65.89
BJ Curran,Zimbabwe,ODI,313,407,5,76.9
Kamran Ghulam,Pakistan,Test,312,552,6,56.52
JWA Taylor,England,Test,312,755,7,41.32
V Shukla,Oman,ODI,312,371,14,84.1
Shaheen Shah Afridi,Pakistan,ODI,310,362,37,85.64
BM Scholtz,Namibia,ODI,310,483,41,64.18
HH Streak,Zimbabwe,Test,309,871,8,35.48
RJ Sidebottom,England,Test,309,883,18,34.99
AJ Hosein,West Indies,ODI,309,409,30,75.55
KAJ Roach,West Indies,ODI,308,610,52,50.49
Zubayr Hamza,South Africa,Test,307,740,8,41.49
Wahab Riaz,Pakistan,Test,306,729,27,41.98
Shamsur Rahman,Bangladesh,Test,305,641,6,47.58
Mohammad Nawaz,Pakistan,ODI,305,366,19,83.33
ADS Fletcher,West Indies,ODI,305,503,23,60.64
KMA Paul,West Indies,ODI,304,316,19,96.2
TK Curran,England,ODI,303,332,16,91.27
B Sai Sudharsan,India,Test,302,785,6,38.47
DO Obuya,Kenya,ODI,302,583,23,51.8
Raqibul Hasan,Bangladesh,Test,301,739,8,40.73
AR White,Ireland,ODI,301,498,23,60.44
Shadab Khan,Pakistan,Test,300,480,6,62.5
A Nel,South Africa,Test,300,600,22,50.0
Anwar Ali,Pakistan,ODI,300,339,15,88.5
MD Gunathilaka,Sri Lanka,Test,299,600,8,49.83
S Joseph,West Indies,Test,299,337,11,88.72
LE Bosman,South Africa,ODI,299,306,11,97.71
RA Reifer,West Indies,Test,298,739,8,40.32
MR Adair,Ireland,Test,298,423,6,70.45
TAM Siriwardana,Sri Lanka,Test,298,455,5,65.49
Mohammad Sami,Pakistan,Test,297,868,18,34.22
Muhammad Shahdad,United Arab Emirates,ODI,297,387,7,76.74
PA Nixon,England,ODI,297,351,18,84.62
GS Ballance,England,ODI,297,450,15,66.0
NM Hauritz,Australia,ODI,295,317,27,93.06
AS Hansra,Canada,ODI,295,538,14,54.83
Jasdeep Singh,United States of America,ODI,293,427,26,68.62
DLS van Bunge,Netherlands,ODI,293,519,12,56.45
PVD Chameera,Sri Lanka,ODI,292,502,36,58.17
P Kumar,India,ODI,292,338,33,86.39
SMSM Senanayake,Sri Lanka,ODI,290,321,33,90.34
AM Blignaut,Zimbabwe,Test,289,440,6,65.68
AF Giles,England,ODI,288,392,19,73.47
C Madande,Zimbabwe,ODI,287,390,13,73.59
MK Tiwary,India,ODI,287,412,12,69.66
BG Rogers,Zimbabwe,ODI,287,410,8,70.0
FDW McCreath,Scotland,ODI,286,409,10,69.93
AJ Stewart,England,Test,284,560,5,50.71
M Theekshana,Sri Lanka,ODI,284,580,30,48.97
AM Blignaut,Zimbabwe,ODI,284,264,20,107.58
Khaled Mahmud,Bangladesh,ODI,283,483,26,58.59
JD Campbell,West Indies,ODI,282,270,8,104.44
Kashif Daud,United Arab Emirates,ODI,282,318,16,88.68
S Samarawickrama,Sri Lanka,Test,281,374,7,75.13
S Chattergoon,West Indies,ODI,281,441,9,63.72
ES Szwarczynski,Netherlands,ODI,281,482,12,58.3
S Dhaniram,Canada,ODI,281,316,11,88.92
S Randiv,Sri Lanka,ODI,280,390,17,71.79
Hannan Sarkar,Bangladesh,ODI,280,537,13,52.14
ST Finn,England,Test,279,902,31,30.93
NO Miller,West Indies,ODI,279,362,26,77.07
AJ Finch,Australia,Test,278,618,5,44.98
LMP Simmons,West Indies,Test,278,597,8,46.57
KC Brathwaite,West Indies,ODI,278,494,10,56.28
MD Dai,Papua New Guinea,ODI,277,367,10,75.48
Mohammad Naveed,United Arab Emirates,ODI,275,267,27,103.0
Moin Khan,Pakistan,ODI,274,318,15,86.16
SR Harmer,South Africa,Test,273,738,13,36.99
M Muralitharan,Sri Lanka,Test,273,348,27,78.45
DT Christian,Australia,ODI,273,313,18,87.22
GH Worker,New Zealand,ODI,272,389,10,69.92
PWA Mulder,South Africa,ODI,272,308,21,88.31
FH Edwards,West Indies,Test,271,918,34,29.52
Umar Amin,Pakistan,ODI,271,408,16,66.42
JW Hastings,Australia,ODI,271,281,18,96.44
MJ Henry,New Zealand,ODI,270,298,37,90.6
SP Krishnamurthi,United States of America,ODI,270,279,12,96.77
C Bosch,South Africa,ODI,270,254,10,106.3
Harmeet Singh,United States of America,ODI,270,254,16,106.3
SM Pollock,Africa XI,ODI,269,243,5,110.7
JC Archer,England,Test,268,513,17,52.24
CL Cairns,New Zealand,Test,268,321,2,83.49
G Toka,Papua New Guinea,ODI,268,496,21,54.03
DL Hemp,Bermuda,ODI,268,398,11,67.34
S Shillingford,West Indies,Test,266,629,16,42.29
TA Blundell,New Zealand,ODI,266,309,12,86.08
Shamsur Rahman,Bangladesh,ODI,266,357,9,74.51
Rubel Hossain,Bangladesh,Test,265,603,27,43.95
G Motie,West Indies,Test,265,419,10,63.25
A Lyth,England,Test,265,532,7,49.81
AC Botha,Ireland,ODI,265,419,17,63.25
BA Carse,England,ODI,264,341,21,77.42
AR Cusack,Ireland,ODI,264,422,23,62.56
MJ Hoggard,England,Test,263,1132,31,23.23
Taufeeq Umar,Pakistan,ODI,262,504,11,51.98
S Fouché,Namibia,ODI,261,403,10,64.76
UDU Chandana,Sri Lanka,ODI,261,397,20,65.74
Taskin Ahmed,Bangladesh,Test,259,558,16,46.42
IDR Bradshaw,West Indies,ODI,259,423,25,61.23
IJ Harvey,Australia,ODI,259,287,17,90.24
JE Taylor,West Indies,ODI,258,300,38,86.0
AJ Bichel,Australia,ODI,258,291,14,88.66
CB Wishart,Zimbabwe,Test,257,499,5,51.5
Shaheen Shah Afridi,Pakistan,Test,256,599,28,42.74
RRS Cornwall,West Indies,Test,256,427,9,59.95
DBL Powell,West Indies,Test,256,676,19,37.87
SL Malinga,Sri Lanka,Test,255,538,16,47.4
R Gunasekera,Canada,ODI,255,463,13,55.08
BB Chari,Zimbabwe,Test,254,644,7,39.44
CMW Read,England,Test,254,552,7,46.01
JM Anderson,England,ODI,254,514,64,49.42
NGRP Jayasuriya,Sri Lanka,Test,253,766,19,33.03
Sohail Khan,Pakistan,Test,252,329,8,76.6
S Sreesanth,India,Test,252,485,25,51.96
CD McMillan,New Zealand,Test,252,464,5,54.31
NM Coulter-Nile,Australia,ODI,252,275,20,91.64
P Khadka,Nepal,ODI,252,317,8,79.5
Manjural Islam Rana,Bangladesh,ODI,251,468,13,53.63
Tushar Imran,Bangladesh,ODI,250,477,21,52.41
KO Otieno,Kenya,ODI,250,595,18,42.02
Amjad Ali,United Arab Emirates,ODI,249,387,10,64.34
DA Marillier,Zimbabwe,ODI,249,355,10,70.14
J Yadav,India,Test,248,578,6,42.91
SR Clark,Australia,Test,248,355,21,69.86
Mohammad Sami,Pakistan,ODI,246,362,24,67.96
C Bosch,South Africa,Test,245,319,3,76.8
MD Bell,New Zealand,Test,245,512,5,47.85
AD Mascarenhas,England,ODI,245,262,13,93.51
Shuvagata Hom,Bangladesh,Test,244,438,8,55.71
W Madhevere,Zimbabwe,Test,244,490,6,49.8
R Ngarava,Zimbabwe,ODI,244,291,29,83.85
SM Davies,England,ODI,244,239,8,102.09
AR Odedara,Oman,ODI,243,481,10,50.52
ML Udawatte,Sri Lanka,ODI,243,367,8,66.21
J Overton,England,ODI,240,222,9,108.11
M Morkel,South Africa,ODI,239,331,40,72.21
WP Masakadza,Zimbabwe,ODI,239,382,22,62.57
RR Watson,Scotland,ODI,239,344,11,69.48
Amjad Javed,United Arab Emirates,ODI,238,267,12,89.14
Musa Ahmed,Netherlands,ODI,238,379,13,62.8
DC Thomas,West Indies,ODI,238,379,19,62.8
HN Ya France,Namibia,ODI,237,293,17,80.89
