match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
592397,Test,2013/14,2013/11/21,The Ashes,1,Australia,England,Australia,381 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
592398,Test,2013/14,2013/12/05,The Ashes,2,Australia,England,Australia,218 runs,Adelaide Oval,
592399,Test,2013/14,2013/12/13,The Ashes,3,Australia,England,Australia,150 runs,Western Australia Cricket Association Ground,Perth
592400,Test,2013/14,2013/12/26,The Ashes,4,Australia,England,Australia,8 wickets,Melbourne Cricket Ground,
592401,Test,2013/14,2014/01/03,The Ashes,5,Australia,England,Australia,281 runs,Sydney Cricket Ground,
64012,Test,2002/03,2002/12/26,England tour of Australia,4,Australia,England,Australia,5 wickets,Melbourne Cricket Ground,Melbourne
64013,Test,2002/03,2003/01/02,England tour of Australia,5,England,Australia,England,225 runs,Sydney Cricket Ground,Sydney
743963,Test,2015,2015/07/08,The Ashes,1,England,Australia,England,169 runs,Sophia Gardens,Cardiff
743965,Test,2015,2015/07/16,The Ashes,2,England,Australia,Australia,405 runs,Lord's,London
743967,Test,2015,2015/07/29,The Ashes,3,England,Australia,England,8 wickets,Edgbaston,Birmingham
743969,Test,2015,2015/08/06,The Ashes,4,England,Australia,England,78 runs,Trent Bridge,Nottingham
743971,Test,2015,2015/08/20,The Ashes,5,England,Australia,Australia,46 runs,Kennington Oval,London
