match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
247481,ODI,2006/07,2007/03/27,ICC World Cup,25,West Indies,Australia,Australia,103 runs,"Sir Vivian Richards Stadium, North Sound",Antigua
247482,ODI,2006/07,2007/03/28,ICC World Cup,26,South Africa,Sri Lanka,South Africa,1 wickets,Providence Stadium,Guyana
247483,ODI,2006/07,2007/03/29,ICC World Cup,27,West Indies,New Zealand,New Zealand,7 wickets,"Sir Vivian Richards Stadium, North Sound",Antigua
247484,ODI,2006/07,2007/03/30,ICC World Cup,28,England,Ireland,England,48 runs,Providence Stadium,Guyana
247485,ODI,2006/07,2007/03/31,ICC World Cup,29,Australia,Bangladesh,Australia,10 wickets,"Sir Vivian Richards Stadium, North Sound",Antigua
247486,ODI,2006/07,2007/04/01,ICC World Cup,30,West Indies,Sri Lanka,Sri Lanka,113 runs,Providence Stadium,Guyana
247487,ODI,2006/07,2007/04/02,ICC World Cup,31,Bangladesh,New Zealand,New Zealand,9 wickets,"Sir Vivian Richards Stadium, North Sound",Antigua
247488,ODI,2006/07,2007/04/03,ICC World Cup,32,Ireland,South Africa,South Africa,7 wickets,Providence Stadium,Guyana
247489,ODI,2006/07,2007/04/04,ICC World Cup,33,England,Sri Lanka,Sri Lanka,2 runs,"Sir Vivian Richards Stadium, North Sound",Antigua
247490,ODI,2006/07,2007/04/07,ICC World Cup,34,Bangladesh,South Africa,Bangladesh,67 runs,Providence Stadium,Guyana
247491,ODI,2006/07,2007/04/08,ICC World Cup,35,Australia,England,Australia,7 wickets,"Sir Vivian Richards Stadium, North Sound",Antigua
247492,ODI,2006/07,2007/04/09,ICC World Cup,36,Ireland,New Zealand,New Zealand,129 runs,Providence Stadium,Guyana
247493,ODI,2006/07,2007/04/10,ICC World Cup,37,West Indies,South Africa,South Africa,67 runs,"National Cricket Stadium, St George's",Grenada
247494,ODI,2006/07,2007/04/11,ICC World Cup,38,Bangladesh,England,England,4 wickets,"Kensington Oval, Bridgetown",Barbados
247495,ODI,2006/07,2007/04/12,ICC World Cup,39,New Zealand,Sri Lanka,Sri Lanka,6 wickets,"National Cricket Stadium, St George's",Grenada
247496,ODI,2006/07,2007/04/13,ICC World Cup,40,Australia,Ireland,Australia,9 wickets,"Kensington Oval, Bridgetown",Barbados
247497,ODI,2006/07,2007/04/14,ICC World Cup,41,New Zealand,South Africa,New Zealand,5 wickets,"National Cricket Stadium, St George's",Grenada
247498,ODI,2006/07,2007/04/15,ICC World Cup,42,Bangladesh,Ireland,Ireland,74 runs,"Kensington Oval, Bridgetown",Barbados
247499,ODI,2006/07,2007/04/16,ICC World Cup,43,Australia,Sri Lanka,Australia,7 wickets,"National Cricket Stadium, St George's",Grenada
247500,ODI,2006/07,2007/04/17,ICC World Cup,44,England,South Africa,South Africa,9 wickets,"Kensington Oval, Bridgetown",Barbados
247501,ODI,2006/07,2007/04/18,ICC World Cup,45,Ireland,Sri Lanka,Sri Lanka,8 wickets,"National Cricket Stadium, St George's",Grenada
247502,ODI,2006/07,2007/04/19,ICC World Cup,46,West Indies,Bangladesh,West Indies,99 runs,"Kensington Oval, Bridgetown",Barbados
247503,ODI,2006/07,2007/04/20,ICC World Cup,47,Australia,New Zealand,Australia,215 runs,"National Cricket Stadium, St George's",Grenada
247504,ODI,2006/07,2007/04/21,ICC World Cup,48,West Indies,England,England,1 wickets,"Kensington Oval, Bridgetown",Barbados
247505,ODI,2006/07,2007/04/24,ICC World Cup,,New Zealand,Sri Lanka,Sri Lanka,81 runs,"Sabina Park, Kingston",Jamaica
247506,ODI,2006/07,2007/04/25,ICC World Cup,,Australia,South Africa,Australia,7 wickets,"Beausejour Stadium, Gros Islet",St Lucia
247507,ODI,2006/07,2007/04/28,ICC World Cup,,Australia,Sri Lanka,Australia,53 runs,"Kensington Oval, Bridgetown",Barbados
249207,ODI,2006,2006/08/06,Bangladesh in Zimbabwe ODI Series,5,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare Sports Club,
249211,ODI,2006/07,2006/11/22,India in South Africa ODI Series,2,South Africa,India,South Africa,157 runs,Kingsmead,Durban
249212,ODI,2006/07,2006/11/26,India in South Africa ODI Series,3,South Africa,India,South Africa,106 runs,Newlands,Cape Town
249213,ODI,2006/07,2006/11/29,India in South Africa ODI Series,4,South Africa,India,South Africa,80 runs,St George's Park,Port Elizabeth
