player,team,total_runs,balls_faced,matches,strike_rate
SH Johnson,Australia,12,14,2,85.71
JM Mennie,Australia,11,29,3,37.93
XC Bartlett,Australia,11,15,2,73.33
B Casson,Australia,10,44,1,22.73
B Geeves,Australia,10,11,1,90.91
RJ Quiney,Australia,9,22,2,40.91
JM Holland,Australia,6,46,4,13.04
MA Beer,Australia,6,29,2,20.69
T Sangha,Australia,6,20,3,30.0
DJ Worrall,Australia,6,4,1,150.0
B Stanlake,Australia,4,28,5,14.29
SD Heazlett,Australia,4,11,1,36.36
ML Lewis,Australia,4,4,1,100.0
Fawad Ahmed,Australia,4,2,1,200.0
BE McGain,Australia,2,16,1,12.5
PR George,Australia,2,11,1,18.18
BR Dorey,Australia,2,9,1,22.22
B Laughlin,Australia,1,9,1,11.11
CJ Sayers,Australia,0,5,1,0.0
LR Morris,Australia,0,2,1,0.0
SM Harwood,Australia,0,4,1,0.0
