match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1384410,ODI,2023/24,2023/10/21,ICC Cricket World Cup,19,Netherlands,Sri Lanka,Sri Lanka,5 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
1384411,ODI,2023/24,2023/10/21,ICC Cricket World Cup,20,South Africa,England,South Africa,229 runs,"Wankhede Stadium, Mumbai",Mumbai
1384412,ODI,2023/24,2023/10/22,ICC Cricket World Cup,21,New Zealand,India,India,4 wickets,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
1384414,ODI,2023/24,2023/10/24,ICC Cricket World Cup,23,South Africa,Bangladesh,South Africa,149 runs,"Wankhede Stadium, Mumbai",Mumbai
1384415,ODI,2023/24,2023/10/25,ICC Cricket World Cup,24,Australia,Netherlands,Australia,309 runs,"Arun Jaitley Stadium, Delhi",Delhi
1384416,ODI,2023/24,2023/10/26,ICC Cricket World Cup,25,England,Sri Lanka,Sri Lanka,8 wickets,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1384417,ODI,2023/24,2023/10/27,ICC Cricket World Cup,26,Pakistan,South Africa,South Africa,1 wickets,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
1384418,ODI,2023/24,2023/10/28,ICC Cricket World Cup,27,Australia,New Zealand,Australia,5 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
1384419,ODI,2023/24,2023/10/28,ICC Cricket World Cup,28,Netherlands,Bangladesh,Netherlands,87 runs,"Eden Gardens, Kolkata",Kolkata
1384420,ODI,2023/24,2023/10/29,ICC Cricket World Cup,29,India,England,India,100 runs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
1384422,ODI,2023/24,2023/10/31,ICC Cricket World Cup,31,Bangladesh,Pakistan,Pakistan,7 wickets,"Eden Gardens, Kolkata",Kolkata
1384423,ODI,2023/24,2023/11/01,ICC Cricket World Cup,32,South Africa,New Zealand,South Africa,190 runs,"Maharashtra Cricket Association Stadium, Pune",Pune
