team,short,city,lat,lon,founded,titles,colour,stadium,capacity
Adelaide Strikers,STR,Adelaide,-34.9156,138.5961,2011,1,#0046ad,Adelaide Oval,53583
Brisbane Heat,HEA,Brisbane,-27.4858,153.0381,2011,1,#e3007e,Gabba,42000
Hobart Hurricanes,HUR,Hobart,-42.8762,147.326,2011,0,#522f7a,Bellerive Oval,20000
Melbourne Renegades,REN,Melbourne,-37.8167,144.9474,2011,1,#b8242a,Marvel Stadium,56347
Melbourne Stars,STA,Melbourne,-37.82,144.9834,2011,0,#1a9a4d,MCG,100024
Perth Scorchers,SCO,Perth,-31.951,115.889,2011,5,#e85c0a,Perth Stadium,61266
Sydney Sixers,SIX,Sydney,-33.8917,151.2247,2011,3,#d61a26,SCG,48000
Sydney Thunder,THU,Sydney,-33.843,151.0644,2011,1,#9b30a8,ENGIE Stadium,24000
