year,wins
1990,18
1991,23
1992,28
1993,28
1994,28
1995,32
1996,30
1997,35
1998,30
1999,33
2000,33
2001,28
2002,31
2003,25
2004,26
2005,20
2006,20
2007,17
2008,15
2009,17
2010,12
2011,14
2012,13
2013,8
2014,8
2015,8
2016,12
2017,17
2018,13
2019,18
2020,21
2021,22
2022,25
2023,29
2024,26
2025,26
